source_id,name,address,facility_type,business_type,risk_class,latest_inspection_date,latest_remark,inspection_count,latitude,longitude,source
603AE828-19CC-4995-A52F-B087FDE1BBD4,1:an Godis,Svandammsvägen 1,,Detaljhandel,8.0,2024-02-15,Utan avvikelse,8,59.30173686923414,18.016113278767396,Stockholms stad livsmedelskontroll
19564F42-B203-44B0-AD78-07E5672AFE96,66:ans Corner,Västerlånggatan 66,,"Restaurang-, catering- och barverksamhet",5.0,2025-09-24,Utan avvikelse,22,59.323252978429565,18.071835468388766,Stockholms stad livsmedelskontroll
1BF921FB-B3C1-4987-9C59-6B37578CB33D,7 Eleven 4015210,Frescativägen 20A,,Detaljhandel,7.0,2025-01-15,Utan avvikelse,8,59.36525126081347,18.054784085149095,Stockholms stad livsmedelskontroll
75F0D299-AC88-4677-89A1-00DE9A555AB9,7 Eleven 4115167,Universitetsvägen 10A,,Detaljhandel,7.0,2025-04-01,Utan avvikelse,8,59.36252315181659,18.058607367470017,Stockholms stad livsmedelskontroll
2A5C4E01-FD70-488E-A4FB-9218B3E69E78,"7 Eleven 4115202, Norrlandsgatan",Norrlandsgatan 7,,Detaljhandel,,2025-03-11,Utan avvikelse,8,59.33381309259524,18.07116885316621,Stockholms stad livsmedelskontroll
3A42FDC0-888E-4353-8A1D-718D0DD2C960,7 Eleven 4319136,Birger Jarlsgatan 39,,Detaljhandel,5.0,2025-02-11,Utan avvikelse,8,59.33874862051101,18.068037551633193,Stockholms stad livsmedelskontroll
E2CC7F6F-0662-462B-9664-1A0B19C144C1,7 Eleven 4515108,Fleminggatan 19,,Detaljhandel,,2024-05-16,Utan avvikelse,7,59.33272722253867,18.044939616004754,Stockholms stad livsmedelskontroll
76250548-256A-4C2A-8EAA-775DBDC72877,7 Eleven 4619124,Sveavägen 71,,Detaljhandel,5.0,2024-06-20,Utan avvikelse,5,59.34322473281646,18.05588529751186,Stockholms stad livsmedelskontroll
286D87AC-B672-4DEB-9872-332DA5C56B1A,7 Eleven 4918116,Odengatan 32,,Detaljhandel,,2025-08-28,Utan avvikelse,11,59.345225028728166,18.059790222503203,Stockholms stad livsmedelskontroll
53E6F20E-FB7A-486F-AAE2-23B330AB2A6F,"7-Eleven 4819114, Rörstrandsgatan 10",Rörstrandsgatan 10,,"Restaurang-, catering- och barverksamhet",,2024-11-11,Utan avvikelse,7,59.34002455385542,18.034291119546804,Stockholms stad livsmedelskontroll
7AE8C8B2-C54B-40B8-9EFB-72BE348B072E,7-Eleven 4915183,Västra järnvägsgatan 1,,Detaljhandel,,2025-09-18,Utan avvikelse,9,59.33045572286558,18.054602289200826,Stockholms stad livsmedelskontroll
19FBA279-5724-4D3D-BF35-E6C547D6A801,800 grader,Sigtunagatan 17,,"Restaurang-, catering- och barverksamhet",5.0,2025-08-21,Utan avvikelse,9,59.34219804479875,18.040717711380157,Stockholms stad livsmedelskontroll
D8C978CE-F42B-490F-A078-3C5F242D1196,96:ans Spel och Tobak,Personnevägen 86,,Detaljhandel,8.0,2024-11-14,Utan avvikelse,8,59.294455702140986,17.976554747213864,Stockholms stad livsmedelskontroll
56FE0F6C-4097-4F53-A007-4C0207D23396,A Bergmark AB,Rusthållarvägen 135,,Partihandel,8.0,2024-08-23,Utan avvikelse,5,59.27392077313541,18.135272792762066,Stockholms stad livsmedelskontroll
1407C535-245E-41B2-BBEF-7A2A7ACC2F7D,A H Glassbar,Skånegatan 83,,"Restaurang-, catering- och barverksamhet",8.0,2025-07-17,,9,59.312940632073705,18.083876320388672,Stockholms stad livsmedelskontroll
26A8DD39-A3E9-461D-BB4D-9F5B5C193709,A la Lo cafe & cantine,Birger Jarlsgatan 77,,"Restaurang-, catering- och barverksamhet",7.0,2025-09-02,Utan avvikelse,8,59.34543895434726,18.06247961253835,Stockholms stad livsmedelskontroll
0D498557-A85F-433E-A831-F2C2CF173EA2,A38 matateljé,Artillerigatan 38,,"Restaurang-, catering- och barverksamhet",,2024-05-14,Utan avvikelse,6,59.336040486048475,18.082705911048517,Stockholms stad livsmedelskontroll
C666717E-2633-4F40-8E43-F3B25C6018C4,ADOLF FREDRIKS FÖRSAMLINGSHUS,Kammakargatan 30,,"Restaurang-, catering- och barverksamhet",7.0,2025-05-05,Utan avvikelse,9,59.338411870964826,18.059092979183415,Stockholms stad livsmedelskontroll
252F66E0-05E5-4EA9-9C0F-51E7366BF21E,AMI by Niklas & Friends,Klarabergsgatan 33,,"Restaurang-, catering- och barverksamhet",,2025-10-15,Utan avvikelse,24,59.33182987451111,18.06171300856295,Stockholms stad livsmedelskontroll
989D0DBF-375F-4486-97A8-70524406CBEA,AOE Restaurang.,Hässelby torg 8,,"Restaurang-, catering- och barverksamhet",,2025-05-16,,21,59.36720923076742,17.843362542706373,Stockholms stad livsmedelskontroll
A9813863-E084-4EC3-80CB-3D073E7071AF,ARJ Sushi,Sveavägen 151,,"Restaurang-, catering- och barverksamhet",7.0,2025-03-25,Utan avvikelse,9,59.34998700921108,18.04765581785574,Stockholms stad livsmedelskontroll
2D9CC276-B862-4472-B1C4-0145E9B7B4B0,Abrahamsbergs Sushi,Abrahamsbergsvägen 9,,"Restaurang-, catering- och barverksamhet",7.0,2024-05-23,Utan avvikelse,10,59.33625335742352,17.95278835605118,Stockholms stad livsmedelskontroll
A0F9018B-5B04-4A13-B849-7BE2C5A8D93E,Academica Förskolan Vinterelvan,Örnbacken 4,,"Restaurang-, catering- och barverksamhet",5.0,2025-01-30,Utan avvikelse,8,59.3095563455547,17.990551904971696,Stockholms stad livsmedelskontroll
BAE79F6E-8581-4F37-8431-C9B67F7C00FA,Adeocare AB,Armfeltsgatan 20,,"Restaurang-, catering- och barverksamhet",8.0,2024-03-25,Utan avvikelse,5,59.34386058820197,18.09050776636272,Stockholms stad livsmedelskontroll
CFCA96C9-ADC8-41F7-9E8C-90347FDF9945,Adolf Fredriks & Gustav Vasa Barnkrubba,Norrtullsgatan 7,,"Restaurang-, catering- och barverksamhet",5.0,2025-01-21,Utan avvikelse,9,59.34163747204614,18.052034164869863,Stockholms stad livsmedelskontroll
77466E4A-F303-4B85-9868-4F5AE46235F1,Afghan Sheeryakh,Vårbergsplan 27,,"Restaurang-, catering- och barverksamhet",,2025-01-29,Utan avvikelse,8,59.275613934729805,17.889559391397604,Stockholms stad livsmedelskontroll
066D1D6B-1499-4F77-A5C1-64E45365709F,African Caribbean Catering,Flyglärargatan 11,,"Restaurang-, catering- och barverksamhet",7.0,2025-10-16,Utan avvikelse,1,59.26762147732002,18.123902635689724,Stockholms stad livsmedelskontroll
EE0FC3C4-6395-447C-8C09-2E1E74236B6A,"African Caribbean catering, Food truck",,,"Restaurang-, catering- och barverksamhet",7.0,2024-09-17,Utan avvikelse,8,,,Stockholms stad livsmedelskontroll
81411F8A-8F2E-4804-9A12-EA7D17CE3939,Agaton Restaurang & Bar,Västerlånggatan 72,,"Restaurang-, catering- och barverksamhet",6.0,2024-08-28,Utan avvikelse,13,59.322956498273946,18.07229149479954,Stockholms stad livsmedelskontroll
8F8060FC-F6FB-47E4-8D92-BB7031D46749,Agenda CFO AB,Stavgårdsgatan 45,,Partihandel,8.0,2024-04-19,Utan avvikelse,4,59.33056992640343,17.967313601398914,Stockholms stad livsmedelskontroll
DCFE72E4-0D94-4B6A-8138-58AABECF30A1,Agnes,Norra Agnegatan 43,,"Restaurang-, catering- och barverksamhet",6.0,2025-06-26,Utan avvikelse,21,59.33261930489866,18.042972590114818,Stockholms stad livsmedelskontroll
81755068-83CF-4CBD-A7DE-A937A81FE1E3,Agrell & Hartley Selection Ab,Ragvaldsgatan 18A,,Partihandel,8.0,2025-03-25,Utan avvikelse,4,59.31766238932422,18.068416879292755,Stockholms stad livsmedelskontroll
98B0C5A8-C65F-4ABF-9E20-66EA605446C9,Ai Ramen Kita,Tegeluddsvägen 1,,"Restaurang-, catering- och barverksamhet",4.0,2024-09-03,Utan avvikelse,8,59.34980663249173,18.099201535418604,Stockholms stad livsmedelskontroll
59B18545-DEF6-4242-94B4-7C52D470072C,Ai Ramen Klara,Gamla Brogatan 27,,"Restaurang-, catering- och barverksamhet",7.0,2025-03-14,Utan avvikelse,12,59.333394466819875,18.057959856446985,Stockholms stad livsmedelskontroll
3198BF84-0E93-4BA5-9BEA-660B8C684112,Aiyara Restaurang,Rindögatan 17,,"Restaurang-, catering- och barverksamhet",6.0,2024-10-10,Utan avvikelse,9,59.34675568081838,18.096561553833855,Stockholms stad livsmedelskontroll
A90888BB-20B2-411D-910F-C7591D190F9A,Al Dente Haga (Nr 8),Alfhild tamms gata 8,,"Restaurang-, catering- och barverksamhet",,2025-06-19,Utan avvikelse,8,59.349371854472444,18.03716519970821,Stockholms stad livsmedelskontroll
FF7345C5-D2AB-408D-BBC2-CE116469ECC6,Alla ska få mat.,Sickla kanalgata 19C,,"Restaurang-, catering- och barverksamhet",,2025-03-05,Utan avvikelse,8,59.30598294239118,18.103857801138872,Stockholms stad livsmedelskontroll
5B5D42D9-3796-4FBB-A811-0A49EC02D928,Allegrillen,Rinkebysvängen 61,,"Restaurang-, catering- och barverksamhet",6.0,2025-09-17,,21,59.38645224187492,17.93637157426654,Stockholms stad livsmedelskontroll
11E89DFA-11A3-444D-BEA7-87A7CAA0F526,Alshammar Import 4,Drakenbergsgatan 55,,Partihandel,8.0,2024-03-05,Utan avvikelse,4,59.31495472842282,18.038560449418785,Stockholms stad livsmedelskontroll
1A74AF09-5E94-498A-92F8-C9257199E053,Alströmerhemmet,Fridhemsgatan 58,,"Restaurang-, catering- och barverksamhet",3.0,2025-04-23,,13,59.33559380218056,18.031626092129613,Stockholms stad livsmedelskontroll
2986B98A-57B5-4E43-AA0D-2B655840A5DD,Alviksgrillen,Gustavslundsvägen 166,,"Restaurang-, catering- och barverksamhet",6.0,2025-09-15,,28,59.332912014895896,17.97942709155498,Stockholms stad livsmedelskontroll
31D7E637-8775-44FB-9E11-E5F1854D8CD1,"Amazon EU S.à r.l., Sverige Filial",Malmskillnadsgatan 36,,Övrigt,8.0,2024-09-17,,4,59.33297197664742,18.066546472646788,Stockholms stad livsmedelskontroll
