source_id,source_name,source_record_name,place_name,osm_type,osm_id,match_score,match_reason,distance_meters
19FBA279-5724-4D3D-BF35-E6C547D6A801,Stockholms stad livsmedelskontroll,800 grader,800 grader,catalog,1744549039,0.9969,nearby coordinates and similar name,2.8
989D0DBF-375F-4486-97A8-70524406CBEA,Stockholms stad livsmedelskontroll,AOE Restaurang.,AOE Restaurang,catalog,2005910466,0.9874,nearby coordinates and similar name,11.3
A9813863-E084-4EC3-80CB-3D073E7071AF,Stockholms stad livsmedelskontroll,ARJ Sushi,Arj Sushi,catalog,3199229447,0.9793,nearby coordinates and similar name,18.6
2D9CC276-B862-4472-B1C4-0145E9B7B4B0,Stockholms stad livsmedelskontroll,Abrahamsbergs Sushi,Abrahamsbergs Sushi,catalog,2714201287,0.9837,nearby coordinates and similar name,14.7
DCFE72E4-0D94-4B6A-8138-58AABECF30A1,Stockholms stad livsmedelskontroll,Agnes,Agnes,catalog,62915224,0.9845,nearby coordinates and similar name,13.9
59B18545-DEF6-4242-94B4-7C52D470072C,Stockholms stad livsmedelskontroll,Ai Ramen Klara,Ai Ramen Klara,catalog,588157441,0.9953,nearby coordinates and similar name,4.3
3198BF84-0E93-4BA5-9BEA-660B8C684112,Stockholms stad livsmedelskontroll,Aiyara Restaurang,Aiyara,catalog,3689064428,0.9865,nearby coordinates and similar name,12.2
5B5D42D9-3796-4FBB-A811-0A49EC02D928,Stockholms stad livsmedelskontroll,Allegrillen,Alle Grillen,catalog,954785500,0.9706,nearby coordinates and similar name,26.4
2986B98A-57B5-4E43-AA0D-2B655840A5DD,Stockholms stad livsmedelskontroll,Alviksgrillen,Alviks Grillen,catalog,2740001675,0.9985,nearby coordinates and similar name,1.4
78D5ED92-E14C-4DDD-AFC3-A4759775FEA9,Stockholms stad livsmedelskontroll,Animo,Animo,catalog,1281685523,0.9891,nearby coordinates and similar name,9.8
D181E456-C1C4-419C-BD8F-904B3069C960,Stockholms stad livsmedelskontroll,Anjas Vedung,Anjas Vedugn,catalog,3130520654,0.9689,nearby coordinates and similar name,5.1
179917E0-6974-41CD-BD5C-6E165707CFBF,Stockholms stad livsmedelskontroll,Arya Restaurang & Pizzeria,Arya Restaurang & Pizzeria,catalog,2029644547,0.9855,nearby coordinates and similar name,13.0
929BFD55-2734-458C-B469-27CCED4C301B,Stockholms stad livsmedelskontroll,BIM.,bim*,catalog,2989678233,0.9967,nearby coordinates and similar name,3.0
9926CAF9-52A3-419E-959B-B3CD91978C6B,Stockholms stad livsmedelskontroll,Bagarmossens Sushi,Bagarmossen Sushi & Café,catalog,3830512869,0.9817,nearby coordinates and similar name,8.9
