osm_type,osm_id,name,category,establishment_type,cuisine,opening_hours,internet_access,internet_access_fee,street,house_number,website,latitude,longitude,osm_timestamp,source
node,6958798,Marino,restaurant,Restaurant,italian,"Mo, Tu 16:00-21:00; We-Fr 16:00-22:00; Sa 12:00-22:00; Su 12:00-21:00",,,Klubbacken,51,,59.305325,17.9632902,2024-03-23T15:43:24Z,OpenStreetMap
node,29809707,Santorini,restaurant,Restaurant,greek,Mo off; Tu-Fr 16:00-23:00; Sa 17:00-23:00; Su 17:00-22:00,,,,,https://www.restaurangsantorini.com/,59.3335055,18.0609925,2026-06-26T11:44:01Z,OpenStreetMap
node,29835538,Burger King,fast_food,Restaurant,burger,"Su-Th 09:00-05:00, Fr,Sa 09:00-06:00",,,,,https://burgerking.se,59.3335636,18.0564035,2025-12-03T23:06:38Z,OpenStreetMap
node,29835544,McDonald's,fast_food,Restaurant,burger,Mo-Th 08:00-24:00; Fr-Sa 08:00-04:00; Su 08:00-24:00,wlan,no,Vasagatan,24,https://www.mcdonalds.com/se/sv-se/location/stockholm/vasagatan/vasagatan-24/48.html,59.3313321,18.0590879,2025-12-03T23:06:38Z,OpenStreetMap
node,29856191,Tegelbacken,restaurant,Restaurant,international,Tu-Sa 17:00-22:00,,,,,https://tegelbacken.com/,59.3284376,18.0630727,2026-05-29T09:50:24Z,OpenStreetMap
node,29898135,Tudor Arms,pub,Restaurant,british,"Mo-Tu 16:00-22:00; We-Th 16:00-23:00, Fr-Sa 15:00-23:00; Su 15:00-20:00",,,,,http://tudorarms.se,59.3348944,18.0853465,2026-08-31T07:17:48Z,OpenStreetMap
node,29898138,Brasserie Elverket,restaurant,Restaurant,,,,,,,https://www.brasserieelverket.se/,59.3357728,18.0879732,2025-12-08T11:16:48Z,OpenStreetMap
node,29898141,Magari Pizza Karlaplan,restaurant,Restaurant,pizza,Mo-Fr 16:00-22:00; Fr 16:00-22:30; Sa 12:00-22:30; Su 12:00-22:00,,,,,https://magaripizza.com,59.3365637,18.0884992,2025-12-08T11:16:48Z,OpenStreetMap
node,29898155,McDonald's,fast_food,Restaurant,burger,Mo-Fr 07:00-23:00; Sa-Su 08:00-23:00,,,,,http://www.mcdonalds.se,59.3390141,18.0908304,2026-08-21T12:28:27Z,OpenStreetMap
node,29898161,Kouzina,restaurant,Restaurant,greek,Mo-Fr 17:00-24:00; Sa 16:00-24:00; Su 16:00-23:00,,,,,https://www.kouzina.se/,59.3420427,18.0867581,2026-08-25T12:17:14Z,OpenStreetMap
node,31008794,Skafferiet i Ekoparken,cafe,Café,coffee_shop,,,,Stora Skuggans Väg,38,,59.3650572,18.0712761,2026-08-31T05:21:15Z,OpenStreetMap
node,38903678,Fiskartorpet,restaurant,Restaurant,,,,,,,,59.3588058,18.0764113,2011-11-11T19:19:55Z,OpenStreetMap
node,51230764,Caledonian Inn,pub,Restaurant,,,,,Spånga Kyrkväg,413,,59.3807885,17.8998284,2025-09-28T14:45:19Z,OpenStreetMap
node,90284300,Apotekskiosken,cafe,Café,ice_cream,,,,,,,59.330254,18.1327268,2019-07-03T10:41:22Z,OpenStreetMap
node,102607902,Tensta Restaurang,pub,Restaurant,,,,,,,,59.3942692,17.9025194,2008-07-01T15:26:27Z,OpenStreetMap
node,158692137,Bistro Östberg,restaurant,Restaurant,,Mo off;Tu-Su 10:00-16:00,,,,,,59.3320845,18.1158885,2026-05-29T09:50:24Z,OpenStreetMap
node,193952667,Stadshuskällaren,restaurant,Restaurant,fine_dining,Tu-Fr 11:30-14:00; We-Sa 17:00-23:00,,,,,https://www.stadshuskallarensthlm.se/,59.3278542,18.0557102,2025-11-26T15:46:59Z,OpenStreetMap
node,246008327,Max,fast_food,Restaurant,burger,"Mo-Tu,Su 10:00-01:00; Th 10:00-05:00; Fr-Sa 10:00-06:00",wlan,,,,https://www.max.se/hitta-max/restauranger/stockholm-vid-kungstradgarden/,59.3327363,18.0718982,2026-02-08T11:18:49Z,OpenStreetMap
node,246008329,Max,fast_food,Restaurant,burger,"Sa-Th 10:00-24:00, Fr,Sa 10:00-01:00",,,,,https://www.max.se/sv/Hitta-MAX/Restauranger/Stockholm-Hammarby-Sjostad/,59.3021163,18.1034556,2026-05-29T09:50:24Z,OpenStreetMap
node,246008332,Max,fast_food,Restaurant,burger,"Mo-Th 10:00-02:00, Fr-Sa 10:00-05:00; Su 10:00-02:00",,,,,https://www.max.se/sv/Hitta-MAX/Restauranger/Stockholm-Vasagatan--7/,59.3323106,18.0573765,2026-05-29T09:50:24Z,OpenStreetMap
node,248752304,Nockeby Pizzeria,restaurant,Restaurant,pizza,,,,,,,59.3294442,17.928936,2011-12-27T12:54:35Z,OpenStreetMap
node,248908928,Harpaviljongen,cafe,Café,,,,,,,,59.3499083,18.0807408,2024-01-21T19:16:51Z,OpenStreetMap
node,248912464,Tullfritt,fast_food,Restaurant,sausage,,,,,,,59.3503492,18.0592275,2024-08-28T13:59:00Z,OpenStreetMap
node,248913931,Sultan,restaurant,Restaurant,indian,Mo-Fr 10:30-21:00; Sa 13:00-21:00; Su off; 2024 Jul 18-2024 Aug 20 off,,,,,http://sultanindisk.se/,59.3502571,18.0578379,2025-11-13T19:18:01Z,OpenStreetMap
node,250287259,McDonald's,fast_food,Restaurant,burger,24/7,,,,,,59.4136316,17.9306363,2022-08-26T06:25:45Z,OpenStreetMap
node,254401441,al Caminetto,restaurant,Restaurant,pizza,,,,,,,59.3328927,17.9774152,2021-08-30T10:47:59Z,OpenStreetMap
node,255277536,McDonald's,fast_food,Restaurant,burger,,,,Bogårdsvägen,30,,59.2624876,18.1003137,2026-02-13T21:21:29Z,OpenStreetMap
